"Var1","Var2"
-97.49,32.85
-97.476,32.85
-97.462,32.85
-97.448,32.85
-97.434,32.85
-97.42,32.85
-97.406,32.85
-97.392,32.85
-97.378,32.85
-97.364,32.85
-97.35,32.85
-97.336,32.85
-97.322,32.85
-97.308,32.85
-97.294,32.85
-97.28,32.85
-97.266,32.85
-97.252,32.85
-97.238,32.85
-97.49,32.836
-97.476,32.836
-97.462,32.836
-97.448,32.836
-97.434,32.836
-97.42,32.836
-97.406,32.836
-97.392,32.836
-97.378,32.836
-97.364,32.836
-97.35,32.836
-97.336,32.836
-97.322,32.836
-97.308,32.836
-97.294,32.836
-97.28,32.836
-97.266,32.836
-97.252,32.836
-97.238,32.836
-97.49,32.822
-97.476,32.822
-97.462,32.822
-97.448,32.822
-97.434,32.822
-97.42,32.822
-97.406,32.822
-97.392,32.822
-97.378,32.822
-97.364,32.822
-97.35,32.822
-97.336,32.822
-97.322,32.822
-97.308,32.822
-97.294,32.822
-97.28,32.822
-97.266,32.822
-97.252,32.822
-97.238,32.822
-97.49,32.808
-97.476,32.808
-97.462,32.808
-97.448,32.808
-97.434,32.808
-97.42,32.808
-97.406,32.808
-97.392,32.808
-97.378,32.808
-97.364,32.808
-97.35,32.808
-97.336,32.808
-97.322,32.808
-97.308,32.808
-97.294,32.808
-97.28,32.808
-97.266,32.808
-97.252,32.808
-97.238,32.808
-97.49,32.794
-97.476,32.794
-97.462,32.794
-97.448,32.794
-97.434,32.794
-97.42,32.794
-97.406,32.794
-97.392,32.794
-97.378,32.794
-97.364,32.794
-97.35,32.794
-97.336,32.794
-97.322,32.794
-97.308,32.794
-97.294,32.794
-97.28,32.794
-97.266,32.794
-97.252,32.794
-97.238,32.794
-97.49,32.78
-97.476,32.78
-97.462,32.78
-97.448,32.78
-97.434,32.78
-97.42,32.78
-97.406,32.78
-97.392,32.78
-97.378,32.78
-97.364,32.78
-97.35,32.78
-97.336,32.78
-97.322,32.78
-97.308,32.78
-97.294,32.78
-97.28,32.78
-97.266,32.78
-97.252,32.78
-97.238,32.78
-97.49,32.766
-97.476,32.766
-97.462,32.766
-97.448,32.766
-97.434,32.766
-97.42,32.766
-97.406,32.766
-97.392,32.766
-97.378,32.766
-97.364,32.766
-97.35,32.766
-97.336,32.766
-97.322,32.766
-97.308,32.766
-97.294,32.766
-97.28,32.766
-97.266,32.766
-97.252,32.766
-97.238,32.766
-97.49,32.752
-97.476,32.752
-97.462,32.752
-97.448,32.752
-97.434,32.752
-97.42,32.752
-97.406,32.752
-97.392,32.752
-97.378,32.752
-97.364,32.752
-97.35,32.752
-97.336,32.752
-97.322,32.752
-97.308,32.752
-97.294,32.752
-97.28,32.752
-97.266,32.752
-97.252,32.752
-97.238,32.752
-97.49,32.738
-97.476,32.738
-97.462,32.738
-97.448,32.738
-97.434,32.738
-97.42,32.738
-97.406,32.738
-97.392,32.738
-97.378,32.738
-97.364,32.738
-97.35,32.738
-97.336,32.738
-97.322,32.738
-97.308,32.738
-97.294,32.738
-97.28,32.738
-97.266,32.738
-97.252,32.738
-97.238,32.738
-97.49,32.724
-97.476,32.724
-97.462,32.724
-97.448,32.724
-97.434,32.724
-97.42,32.724
-97.406,32.724
-97.392,32.724
-97.378,32.724
-97.364,32.724
-97.35,32.724
-97.336,32.724
-97.322,32.724
-97.308,32.724
-97.294,32.724
-97.28,32.724
-97.266,32.724
-97.252,32.724
-97.238,32.724
-97.49,32.71
-97.476,32.71
-97.462,32.71
-97.448,32.71
-97.434,32.71
-97.42,32.71
-97.406,32.71
-97.392,32.71
-97.378,32.71
-97.364,32.71
-97.35,32.71
-97.336,32.71
-97.322,32.71
-97.308,32.71
-97.294,32.71
-97.28,32.71
-97.266,32.71
-97.252,32.71
-97.238,32.71
-97.49,32.696
-97.476,32.696
-97.462,32.696
-97.448,32.696
-97.434,32.696
-97.42,32.696
-97.406,32.696
-97.392,32.696
-97.378,32.696
-97.364,32.696
-97.35,32.696
-97.336,32.696
-97.322,32.696
-97.308,32.696
-97.294,32.696
-97.28,32.696
-97.266,32.696
-97.252,32.696
-97.238,32.696
-97.49,32.682
-97.476,32.682
-97.462,32.682
-97.448,32.682
-97.434,32.682
-97.42,32.682
-97.406,32.682
-97.392,32.682
-97.378,32.682
-97.364,32.682
-97.35,32.682
-97.336,32.682
-97.322,32.682
-97.308,32.682
-97.294,32.682
-97.28,32.682
-97.266,32.682
-97.252,32.682
-97.238,32.682
-97.49,32.668
-97.476,32.668
-97.462,32.668
-97.448,32.668
-97.434,32.668
-97.42,32.668
-97.406,32.668
-97.392,32.668
-97.378,32.668
-97.364,32.668
-97.35,32.668
-97.336,32.668
-97.322,32.668
-97.308,32.668
-97.294,32.668
-97.28,32.668
-97.266,32.668
-97.252,32.668
-97.238,32.668
-97.49,32.654
-97.476,32.654
-97.462,32.654
-97.448,32.654
-97.434,32.654
-97.42,32.654
-97.406,32.654
-97.392,32.654
-97.378,32.654
-97.364,32.654
-97.35,32.654
-97.336,32.654
-97.322,32.654
-97.308,32.654
-97.294,32.654
-97.28,32.654
-97.266,32.654
-97.252,32.654
-97.238,32.654
